target_id	length	eff_length	est_counts	tpm
AFH237_009882-T1	4365	4366	6.27056e+06	74323
AFH237_009892-T1	4630	4631	98330.2	1098.78
AFH237_009880-T1	7095	7096	109960	801.902
AFH237_009877-T1	420	421	4159.19	511.242
AFH237_010113-T1	576	577	2120.73	190.199
AFH237_010142-T1	1284	1285	4551.62	183.301
AFH237_010159-T1	1526	1527	4942.3	167.491
AFH237_006044-T1	1511	1512	3507.38	120.042
AFH237_010065-T1	73	74	134.5	94.057
AFH237_010080-T1	73	74	134.5	94.057
AFH237_010061-T1	71	72	121.667	87.4459
AFH237_010076-T1	71	72	121.667	87.4459
AFH237_010091-T1	71	72	121.667	87.4459
AFH237_010064-T1	85	86	144.5	86.9501
AFH237_010079-T1	85	86	144.5	86.9501
AFH237_010066-T1	73	74	118.5	82.8681
AFH237_010081-T1	73	74	118.5	82.8681
AFH237_010067-T1	72	73	103.5	73.3699
AFH237_010082-T1	72	73	103.5	73.3699
AFH237_010062-T1	71	72	81.6667	58.6966
AFH237_010077-T1	71	72	81.6667	58.6966
AFH237_010092-T1	71	72	81.6667	58.6966
AFH237_010124-T1	1782	1783	1971.87	57.2304
AFH237_009876-T1	4234	4235	3581.42	43.7626
AFH237_010068-T1	86	87	71	42.2318
AFH237_010083-T1	86	87	71	42.2318
AFH237_010063-T1	71	72	52	37.3742
AFH237_010078-T1	71	72	52	37.3742
AFH237_010093-T1	71	72	52	37.3742
AFH237_006037-T1	1313	1314	720.5	28.3752
AFH237_008960-T1	2658	2659	1104.4	21.4935
AFH237_010155-T1	612	613	247.569	20.8996
AFH237_010058-T1	72	73	29	20.5578
AFH237_010073-T1	72	73	29	20.5578
AFH237_010088-T1	72	73	29	20.5578
AFH237_010060-T1	71	72	27.6667	19.885
AFH237_010075-T1	71	72	27.6667	19.885
AFH237_010090-T1	71	72	27.6667	19.885
AFH237_010208-T1	392	393	126.108	16.6054
AFH237_010164-T1	1290	1291	409.804	16.4267
AFH237_003113-T1	1814	1815	573	16.3372
AFH237_010054-T1	71	72	21.6667	15.5726
AFH237_010069-T1	71	72	21.6667	15.5726
AFH237_010084-T1	71	72	21.6667	15.5726
AFH237_010108-T1	1239	1240	348.23	14.5327
AFH237_006021-T1	987	988	264.517	13.8547
AFH237_007630-T1	2125	2126	557.23	13.5635
AFH237_010133-T1	1790	1791	449.5	12.9878
AFH237_010122-T1	3127	3128	778	12.871
AFH237_010193-T1	2101	2102	504.455	12.4191
AFH237_010125-T1	1198	1199	271	11.6964
AFH237_008961-T1	312	313	68	11.2426
AFH237_010056-T1	73	74	15	10.4896
AFH237_010071-T1	73	74	15	10.4896
AFH237_010086-T1	73	74	15	10.4896
AFH237_010059-T1	73	74	14.3333	10.0234
AFH237_010074-T1	73	74	14.3333	10.0234
AFH237_010089-T1	73	74	14.3333	10.0234
AFH237_007808-T1	316	317	58.902	9.61549
AFH237_009894-T1	648	649	118.522	9.45051
AFH237_010117-T1	1251	1252	193.002	7.97734
AFH237_010182-T1	1308	1309	192.5	7.61012
AFH237_010148-T1	1396	1397	204.5	7.57526
AFH237_010055-T1	74	75	10	6.89984
AFH237_010070-T1	74	75	10	6.89984
AFH237_010085-T1	74	75	10	6.89984
AFH237_003119-T1	1113	1114	146.785	6.81864
AFH237_007620-T1	1484	1485	193.618	6.74716
AFH237_010206-T1	520	521	67.5	6.7045
AFH237_003123-T1	1049	1050	132.005	6.5058
AFH237_003121-T1	3304	3305	401	6.27875
AFH237_010134-T1	1027	1028	120.941	6.0881
AFH237_010163-T1	1984	1985	211.889	5.52393
AFH237_007620-T2	1549	1550	149.419	4.98854
AFH237_010126-T1	1589	1590	150.504	4.89836
AFH237_010194-T1	514	515	48.7179	4.89533
AFH237_008966-T1	1640	1641	153.459	4.83932
AFH237_010234-T1	1845	1846	172.344	4.8313
AFH237_010224-T1	1392	1393	121.83	4.52589
