target_id	length	eff_length	est_counts	tpm
UCRA1163_000001-T1	612	613	0	0
UCRA1163_000002-T1	318	319	3	0.772754
UCRA1163_000003-T1	2388	2389	15	0.515924
UCRA1163_000004-T1	1131	1132	47	3.41163
UCRA1163_000005-T1	768	769	64	6.83856
UCRA1163_000006-T1	462	463	2	0.354944
UCRA1163_000007-T1	870	871	25	2.35848
UCRA1163_000008-T1	996	997	4	0.329667
UCRA1163_000009-T1	408	409	26	5.22349
UCRA1163_000010-T1	960	961	4	0.342017
UCRA1163_000011-T1	1083	1084	80	6.06417
UCRA1163_000012-T1	2235	2236	73	2.68264
UCRA1163_000013-T1	1479	1480	14	0.777279
UCRA1163_000014-T1	969	970	10	0.847109
UCRA1163_000015-T1	714	715	91	10.4579
UCRA1163_000016-T1	1404	1405	44	2.57328
UCRA1163_000017-T1	309	310	109	28.8919
UCRA1163_000018-T1	2694	2695	2	0.0609792
UCRA1163_000019-T1	1521	1522	0	0
UCRA1163_000020-T1	1629	1630	2	0.100822
UCRA1163_000021-T1	1104	1105	0	0
UCRA1163_000022-T1	1866	1867	0	0
UCRA1163_000023-T1	1602	1603	0	0
UCRA1163_000024-T1	1542	1543	0	0
UCRA1163_000025-T1	357	358	12	2.75429
UCRA1163_000026-T1	858	859	1	0.0956572
UCRA1163_000027-T1	843	844	574	55.8831
UCRA1163_000028-T1	1008	1009	27	2.19879
UCRA1163_000029-T1	549	550	0	0
UCRA1163_000030-T1	273	274	2	0.599778
UCRA1163_000031-T1	1386	1387	33	1.95501
UCRA1163_000032-T1	1617	1618	5	0.253923
UCRA1163_000033-T1	2490	2491	48	1.58335
UCRA1163_000034-T1	1881	1882	9	0.392947
UCRA1163_000035-T1	705	706	133	15.4795
UCRA1163_000036-T1	714	715	605	69.5281
UCRA1163_000037-T1	1398	1399	2	0.117469
UCRA1163_000038-T1	1716	1717	191	9.14058
UCRA1163_000039-T1	1824	1825	102	4.59249
UCRA1163_000040-T1	1749	1750	330	15.4948
UCRA1163_000041-T1	1263	1264	45	2.92534
UCRA1163_000042-T1	813	814	30	3.02836
UCRA1163_000043-T1	642	643	312	39.8708
UCRA1163_000044-T1	1386	1387	776	45.9723
UCRA1163_000045-T1	2031	2032	270	10.9182
UCRA1163_000046-T1	1431	1432	349	20.026
UCRA1163_000047-T1	3846	3847	1329	28.3866
UCRA1163_000048-T1	1920	1921	1012	43.2876
UCRA1163_000049-T1	2010	2011	180	7.35481
UCRA1163_000050-T1	1527	1528	1031	55.4429
UCRA1163_000051-T1	1896	1897	125	5.41444
UCRA1163_000052-T1	1554	1555	1226	64.7845
UCRA1163_000053-T1	813	814	135	13.6276
UCRA1163_000054-T1	1188	1189	212	14.6509
UCRA1163_000055-T1	1944	1945	127	5.36531
UCRA1163_000056-T1	573	574	570	81.5969
UCRA1163_000057-T1	1473	1474	190	10.5917
UCRA1163_000058-T1	2796	2797	714	20.9757
UCRA1163_000059-T1	456	457	985	177.105
UCRA1163_000060-T1	1302	1303	1564	98.6287
UCRA1163_000061-T1	1407	1408	63	3.67662
UCRA1163_000062-T1	1386	1387	321	19.0169
UCRA1163_000063-T1	2616	2617	307	9.6393
UCRA1163_000064-T1	1230	1231	35	2.33626
UCRA1163_000065-T1	1170	1171	44	3.0875
UCRA1163_000066-T1	861	862	63	6.00543
UCRA1163_000067-T1	507	508	1403	226.937
UCRA1163_000068-T1	1122	1123	22817	1669.51
UCRA1163_000069-T1	981	982	329	27.5293
UCRA1163_000070-T1	882	883	2730	254.046
UCRA1163_000071-T1	402	403	6	1.22337
UCRA1163_000072-T1	72	73	1	1.12561
UCRA1163_000073-T1	963	964	1353	115.327
UCRA1163_000074-T1	1011	1012	25	2.02988
UCRA1163_000075-T1	513	514	19	3.03739
UCRA1163_000076-T1	1188	1189	270	18.6592
UCRA1163_000077-T1	1386	1387	2	0.118485
UCRA1163_000078-T1	1449	1450	25	1.41672
UCRA1163_000079-T1	645	646	134	17.0445
UCRA1163_000080-T1	1290	1291	215	13.6843
UCRA1163_000081-T1	1533	1534	30	1.60697
UCRA1163_000082-T1	963	964	344	29.3219
